routerSerial,ri,action,movement,fall,battery,count,label,routerTime,loc_label
B8-27-EB-C0-BC-B1,-86,2,0,0,0,114,0,1595327069349,Dining
B8-27-EB-6A-B8-0B,-80,2,0,0,0,112,0,1595327069332,Dining
B8-27-EB-6A-B8-0B,-92,2,1,0,0,115,0,1595327069804,Dining
B8-27-EB-C0-BC-B1,-83,2,1,0,0,116,0,1595327070297,Dining
B8-27-EB-D5-33-8B,-79,2,37,0,0,118,0,1595327071231,Dining
B8-27-EB-DB-FE-98,-95,2,37,0,0,118,0,1595327071261,Dining
B8-27-EB-6A-B8-0B,-76,2,37,0,0,118,0,1595327071378,Dining
B8-27-EB-C0-BC-B1,-75,4,21,0,0,119,0,1595327071796,Dining
B8-27-EB-DB-FE-98,-89,2,37,0,0,118,0,1595327071785,Dining
B8-27-EB-6A-B8-0B,-78,4,21,0,0,119,0,1595327071969,Dining
B8-27-EB-6A-B8-0B,-85,2,29,0,0,123,0,1595327073779,Dining
B8-27-EB-F2-6B-8A,-83,2,29,0,0,123,0,1595327074308,Dining
B8-27-EB-DB-FE-98,-80,2,15,0,0,121,0,1595327072636,Dining
B8-27-EB-D5-33-8B,-79,2,15,0,0,121,0,1595327072710,Dining
B8-27-EB-C0-BC-B1,-76,2,15,0,0,121,0,1595327072783,Dining
B8-27-EB-DB-FE-98,-82,2,29,0,0,123,0,1595327073599,Dining
B8-27-EB-F2-6B-8A,-88,4,28,0,0,125,0,1595327074713,Dining
B8-27-EB-DB-FE-98,-90,2,29,0,0,126,0,1595327075043,Dining
B8-27-EB-6A-B8-0B,-72,4,28,0,0,125,0,1595327075309,Dining
B8-27-EB-D5-33-8B,-79,2,33,0,0,124,0,1595327075810,Dining
B8-27-EB-6A-B8-0B,-72,4,12,0,0,128,0,1595327076057,Dining
B8-27-EB-6A-B8-0B,-96,2,18,0,0,129,0,1595327076566,Dining
B8-27-EB-6A-B8-0B,-85,2,18,0,0,129,1,1595327076984,Stairway
B8-27-EB-F2-6B-8A,-90,4,18,0,0,131,1,1595327077474,Stairway
B8-27-EB-AD-32-FA,-93,4,18,0,0,131,1,1595327077510,Stairway
B8-27-EB-DB-FE-98,-92,4,18,0,0,131,1,1595327077445,Stairway
B8-27-EB-22-6B-12,-93,2,15,0,0,130,1,1595327077520,Stairway
B8-27-EB-D5-33-8B,-92,2,20,0,0,133,1,1595327078490,Stairway
B8-27-EB-7A-0F-BF,-85,2,20,0,0,133,1,1595327078491,Stairway
B8-27-EB-22-6B-12,-81,2,6,0,0,132,1,1595327078792,Stairway
B8-27-EB-6A-B8-0B,-86,2,6,0,0,132,1,1595327078899,Stairway
B8-27-EB-AD-32-FA,-85,4,14,0,0,135,1,1595327079402,Stairway
B8-27-EB-6A-B8-0B,-71,2,19,0,0,134,1,1595327079394,Stairway
B8-27-EB-DB-FE-98,-90,2,17,0,0,136,1,1595327079865,Stairway
B8-27-EB-22-6B-12,-79,2,17,0,0,136,1,1595327079941,Stairway
B8-27-EB-6A-B8-0B,-88,2,17,0,0,136,1,1595327079957,Stairway
B8-27-EB-22-6B-12,-88,2,21,0,0,139,1,1595327081285,Stairway
B8-27-EB-6A-B8-0B,-93,2,21,0,0,139,1,1595327081302,Stairway
B8-27-EB-AD-32-FA,-79,2,21,0,0,139,1,1595327081344,Stairway
B8-27-EB-6A-B8-0B,-84,4,24,0,0,141,1,1595327082311,Stairway
B8-27-EB-6A-B8-0B,-92,2,23,0,0,143,1,1595327083218,Stairway
B8-27-EB-AD-32-FA,-93,4,9,0,0,144,1,1595327083699,Stairway
B8-27-EB-22-6B-12,-80,4,9,0,0,144,1,1595327083707,Stairway
B8-27-EB-AD-32-FA,-94,2,1,0,0,147,1,1595327085219,Stairway
B8-27-EB-6A-B8-0B,-94,14,1,0,0,148,1,1595327085806,Stairway
